abs,"\nabs( x:ndarray|ArrayLikeObject|number[, options:Object] )\n    Computes the absolute value.\n"
base.min,"\nbase.min( x:number, y:number )\n    Returns the minimum value.\n"
base.minabs,"\nbase.minabs( x:number, y:number )\n    Returns the minimum absolute value.\n"
base.minabsn,"\nbase.minabsn( [x:number[, y:number[, ...args:number]]] )\n    Returns the minimum absolute value.\n"
base.minmax,"\nbase.minmax( x:number, y:number )\n    Returns the minimum and maximum values.\n"
base.minmax.assign,"\nbase.minmax.assign( x:number, y:number, out:Array|TypedArray|Object, \n  stride:integer, offset:integer )\n    Returns the minimum and maximum values and assigns results to a provided\n    output array.\n"
base.minmaxabs,"\nbase.minmaxabs( x:number, y:number )\n    Returns the minimum and maximum absolute values.\n"
base.minmaxabs.assign,"\nbase.minmaxabs.assign( x:number, y:number, out:Array|TypedArray|Object, \n  stride:integer, offset:integer )\n    Returns the minimum and maximum absolute values.\n"
base.minmaxabsn,"\nbase.minmaxabsn( [x:number[, y:number[, ...args:number]]] )\n    Returns the minimum and maximum absolute values.\n"
base.minmaxabsn.assign,"\nbase.minmaxabsn.assign( [x:number[, y:number[, ...args:number]]], \n  out:Array|TypedArray|Object, stride:integer, offset:integer )\n    Returns the minimum and maximum absolute values.\n"
base.minmaxn,"\nbase.minmaxn( [x:number[, y:number[, ...args:number]]] )\n    Returns the minimum and maximum values.\n"
base.minmaxn.assign,"\nbase.minmaxn.assign( [x:number[, y:number[, ...args:number]]], \n  out:Array|TypedArray|Object, stride:integer, offset:integer )\n    Returns the minimum and maximum values and assigns results to a provided\n    output array.\n"
base.minn,"\nbase.minn( [x:number[, y:number[, ...args:number]]] )\n    Returns the minimum value.\n"
base.modf,"\nbase.modf( x:number )\n    Decomposes a double-precision floating-point number into integral and\n    fractional parts, each having the same type and sign as the input value.\n"
base.modf.assign,"\nbase.modf.assign( x:number, out:Array|TypedArray|Object, stride:integer, \n  offset:integer )\n    Decomposes a double-precision floating-point number into integral and\n    fractional parts, each having the same type and sign as the input value,\n    and assigns results to a provided output array.\n"
base.mul,"\nbase.mul( x:number, y:number )\n    Multiplies two double-precision floating-point numbers `x` and `y`.\n"
base.mulf,"\nbase.mulf( x:number, y:number )\n    Multiplies two single-precision floating-point numbers `x` and `y`.\n"
base.ndarray,"\nbase.ndarray( dtype:string, buffer:ArrayLikeObject|TypedArray|Buffer, \n  shape:ArrayLikeObject<integer>, strides:ArrayLikeObject<integer>, \n  offset:integer, order:string )\n    Returns an ndarray.\n"
base.ndarray.prototype.byteLength,"\nbase.ndarray.prototype.byteLength\n    Size (in bytes) of the array (if known).\n"
base.ndarray.prototype.BYTES_PER_ELEMENT,"\nbase.ndarray.prototype.BYTES_PER_ELEMENT\n    Size (in bytes) of each array element (if known).\n"
base.ndarray.prototype.data,"\nbase.ndarray.prototype.data\n    Pointer to the underlying data buffer.\n"
base.ndarray.prototype.dtype,"\nbase.ndarray.prototype.dtype\n    Underlying data type.\n"
base.ndarray.prototype.flags,"\nbase.ndarray.prototype.flags\n    Meta information, such as information concerning the memory layout of the\n    array.\n"
base.ndarray.prototype.length,"\nbase.ndarray.prototype.length\n    Length of the array (i.e., number of elements).\n"
base.ndarray.prototype.ndims,"\nbase.ndarray.prototype.ndims\n    Number of dimensions.\n"
base.ndarray.prototype.offset,"\nbase.ndarray.prototype.offset\n    Index offset which specifies the buffer index at which to start iterating\n    over array elements.\n"
base.ndarray.prototype.order: string,"\nbase.ndarray.prototype.order: string\n    Array order.\n"
base.ndarray.prototype.shape,"\nbase.ndarray.prototype.shape\n    Array shape.\n"
base.ndarray.prototype.strides,"\nbase.ndarray.prototype.strides\n    Index strides which specify how to access data along corresponding array\n    dimensions.\n"
base.ndarray.prototype.get,"\nbase.ndarray.prototype.get( ...idx:integer )\n    Returns an array element specified according to provided subscripts.\n"
base.ndarray.prototype.iget,"\nbase.ndarray.prototype.iget( idx:integer )\n    Returns an array element located at a specified linear index.\n"
base.ndarray.prototype.set,"\nbase.ndarray.prototype.set( ...idx:integer, v:any )\n    Sets an array element specified according to provided subscripts.\n"
base.ndarray.prototype.iset,"\nbase.ndarray.prototype.iset( idx:integer, v:any )\n    Sets an array element located at a specified linear index.\n"
base.ndarray.prototype.toString,"\nbase.ndarray.prototype.toString()\n    Serializes an ndarray as a string.\n"
base.ndarray.prototype.toJSON,"\nbase.ndarray.prototype.toJSON()\n    Serializes an ndarray as a JSON object.\n"
base.ndarrayUnary,"\nbase.ndarrayUnary( arrays:ArrayLikeObject<ndarray>, fcn:Function )\n    Applies a unary callback to elements in an input ndarray and assigns results\n    to elements in an output ndarray.\n"
base.ndzeros,"\nbase.ndzeros( dtype:string, shape:ArrayLikeObject<integer>, order:string )\n    Returns a zero-filled ndarray having a specified shape and data type.\n"
base.ndzerosLike,"\nbase.ndzerosLike( x:ndarray )\n    Returns a zero-filled ndarray having the same shape and data type as a\n    provided input ndarray.\n"
base.negafibonacci,"\nbase.negafibonacci( n:integer )\n    Computes the nth negaFibonacci number.\n"
base.negalucas,"\nbase.negalucas( n:integer )\n    Computes the nth negaLucas number.\n"
base.nonfibonacci,"\nbase.nonfibonacci( n:integer )\n    Computes the nth non-Fibonacci number.\n"
base.normalize,"\nbase.normalize( x:number )\n    Returns a normal number and exponent satisfying `x = y * 2^exp` as an array.\n"
base.normalize.assign,"\nbase.normalize.assign( x:number, out:Array|TypedArray|Object, stride:integer, \n  offset:integer )\n    Returns a normal number and exponent satisfying `x = y * 2^exp` and assigns\n    results to a provided output array.\n"
base.normalizef,"\nbase.normalizef( x:float )\n    Returns a normal number `y` and exponent `exp` satisfying `x = y * 2^exp` as\n    an array.\n"
base.normalizef.assign,"\nbase.normalizef.assign( x:float, out:Array|TypedArray|Object, stride:integer, \n  offset:integer )\n    Returns a normal number `y` and exponent `exp` satisfying `x = y * 2^exp` and\n    assigns results to a provided output array.\n"
base.normalizeSlice,"\nbase.normalizeSlice( slice:Slice, len:integer, strict:boolean )\n    Returns a normalized Slice object.\n"
base.normhermitepoly,"\nbase.normhermitepoly( n:integer, x:number )\n    Evaluates a normalized Hermite polynomial using double-precision floating-\n    point arithmetic.\n"
base.normhermitepoly.factory,"\nbase.normhermitepoly.factory( n:integer )\n    Returns a function for evaluating a normalized Hermite polynomial using\n    double-precision floating-point arithmetic.\n"
base.pascalcase,"\nbase.pascalcase( str:string )\n    Converts a string to Pascal case.\n"
base.pdiff,"\nbase.pdiff( x:number, y:number )\n    Returns the positive difference between `x` and `y` if `x > y`; otherwise,\n    returns `0`.\n"
base.pdifff,"\nbase.pdifff( x:number, y:number )\n    Returns the positive difference between `x` and `y` if `x > y`; otherwise,\n    returns `0`.\n"
base.percentEncode,"\nbase.percentEncode( str:string )\n    Percent-encodes a UTF-16 encoded string according to RFC 3986.\n"
base.polygamma,"\nbase.polygamma( n:integer, x:number )\n    Evaluates the polygamma function of order `n`; i.e., the (n+1)th derivative\n    of the natural logarithm of the gamma function.\n"
base.pow,"\nbase.pow( b:number, x:number )\n    Evaluates the exponential function `bˣ`.\n"
base.powm1,"\nbase.powm1( b:number, x:number )\n    Evaluates `bˣ - 1`.\n"
base.rad2deg,"\nbase.rad2deg( x:number )\n    Converts an angle from radians to degrees.\n"
base.rad2degf,"\nbase.rad2degf( x:number )\n    Converts an angle from radians to degrees (single-precision).\n"
base.ramp,"\nbase.ramp( x:number )\n    Evaluates the ramp function.\n"
base.rampf,"\nbase.rampf( x:number )\n    Evaluates the ramp function (single-precision).\n"
base.random.arcsine,"\nbase.random.arcsine( a:number, b:number )\n    Returns a pseudorandom number drawn from an arcsine distribution.\n"
base.random.arcsine.factory,"\nbase.random.arcsine.factory( [a:number, b:number, ][options:Object] )\n    Returns a pseudorandom number generator (PRNG) for generating pseudorandom\n    numbers drawn from an arcsine distribution.\n"
base.random.arcsine.NAME,"\nbase.random.arcsine.NAME\n    Generator name.\n"
base.random.arcsine.PRNG,"\nbase.random.arcsine.PRNG\n    Underlying pseudorandom number generator.\n"
base.random.arcsine.seed,"\nbase.random.arcsine.seed\n    Pseudorandom number generator seed.\n"
base.random.arcsine.seedLength,"\nbase.random.arcsine.seedLength\n    Length of generator seed.\n"
base.random.arcsine.state,"\nbase.random.arcsine.state\n    Generator state.\n"
base.random.arcsine.stateLength,"\nbase.random.arcsine.stateLength\n    Length of generator state.\n"
base.random.arcsine.byteLength,"\nbase.random.arcsine.byteLength\n    Size (in bytes) of generator state.\n"
base.random.arcsine.toJSON,"\nbase.random.arcsine.toJSON()\n    Serializes the pseudorandom number generator as a JSON object.\n"
base.random.bernoulli,"\nbase.random.bernoulli( p:number )\n    Returns a pseudorandom number drawn from a Bernoulli distribution.\n"
base.random.bernoulli.factory,"\nbase.random.bernoulli.factory( [p:number, ][options:Object] )\n    Returns a pseudorandom number generator (PRNG) for generating pseudorandom\n    numbers drawn from a Bernoulli distribution.\n"
base.random.bernoulli.NAME,"\nbase.random.bernoulli.NAME\n    Generator name.\n"
base.random.bernoulli.PRNG,"\nbase.random.bernoulli.PRNG\n    Underlying pseudorandom number generator.\n"
base.random.bernoulli.seed,"\nbase.random.bernoulli.seed\n    Pseudorandom number generator seed.\n"
base.random.bernoulli.seedLength,"\nbase.random.bernoulli.seedLength\n    Length of generator seed.\n"
base.random.bernoulli.state,"\nbase.random.bernoulli.state\n    Generator state.\n"
base.random.bernoulli.stateLength,"\nbase.random.bernoulli.stateLength\n    Length of generator state.\n"
base.random.bernoulli.byteLength,"\nbase.random.bernoulli.byteLength\n    Size (in bytes) of generator state.\n"
base.random.bernoulli.toJSON,"\nbase.random.bernoulli.toJSON()\n    Serializes the pseudorandom number generator as a JSON object.\n"
base.random.beta,"\nbase.random.beta( α:number, β:number )\n    Returns a pseudorandom number drawn from a beta distribution.\n"
base.random.beta.factory,"\nbase.random.beta.factory( [α:number, β:number, ][options:Object] )\n    Returns a pseudorandom number generator (PRNG) for generating pseudorandom\n    numbers drawn from a beta distribution.\n"
base.random.beta.NAME,"\nbase.random.beta.NAME\n    Generator name.\n"
base.random.beta.PRNG,"\nbase.random.beta.PRNG\n    Underlying pseudorandom number generator.\n"
base.random.beta.seed,"\nbase.random.beta.seed\n    Pseudorandom number generator seed.\n"
base.random.beta.seedLength,"\nbase.random.beta.seedLength\n    Length of generator seed.\n"
base.random.beta.state,"\nbase.random.beta.state\n    Generator state.\n"
base.random.beta.stateLength,"\nbase.random.beta.stateLength\n    Length of generator state.\n"
base.random.beta.byteLength,"\nbase.random.beta.byteLength\n    Size (in bytes) of generator state.\n"
base.random.beta.toJSON,"\nbase.random.beta.toJSON()\n    Serializes the pseudorandom number generator as a JSON object.\n"
base.random.betaprime,"\nbase.random.betaprime( α:number, β:number )\n    Returns a pseudorandom number drawn from a beta prime distribution.\n"
base.random.betaprime.factory,"\nbase.random.betaprime.factory( [α:number, β:number, ][options:Object] )\n    Returns a pseudorandom number generator (PRNG) for generating pseudorandom\n    numbers drawn from a beta prime distribution.\n"
base.random.betaprime.NAME,"\nbase.random.betaprime.NAME\n    Generator name.\n"
base.random.betaprime.PRNG,"\nbase.random.betaprime.PRNG\n    Underlying pseudorandom number generator.\n"
base.random.betaprime.seed,"\nbase.random.betaprime.seed\n    Pseudorandom number generator seed.\n"
base.random.betaprime.seedLength,"\nbase.random.betaprime.seedLength\n    Length of generator seed.\n"
base.random.betaprime.state,"\nbase.random.betaprime.state\n    Generator state.\n"
base.random.betaprime.stateLength,"\nbase.random.betaprime.stateLength\n    Length of generator state.\n"
base.random.betaprime.byteLength,"\nbase.random.betaprime.byteLength\n    Size (in bytes) of generator state.\n"
base.random.betaprime.toJSON,"\nbase.random.betaprime.toJSON()\n    Serializes the pseudorandom number generator as a JSON object.\n"
base.random.binomial,"\nbase.random.binomial( n:integer, p:number )\n    Returns a pseudorandom number drawn from a binomial distribution.\n"
base.random.binomial.factory,"\nbase.random.binomial.factory( [n:integer, p:number, ][options:Object] )\n    Returns a pseudorandom number generator (PRNG) for generating pseudorandom\n    numbers drawn from a binomial distribution.\n"
base.random.binomial.NAME,"\nbase.random.binomial.NAME\n    Generator name.\n"
base.random.binomial.PRNG,"\nbase.random.binomial.PRNG\n    Underlying pseudorandom number generator.\n"
